Company,Sector,NSE_Symbol,CMP_BHAV,MCap_INR_crs,EPS_FY0,EPS_FY1,EPS_FY2,EPS_FY3,Revenue_FY0,Revenue_FY1,Revenue_FY2,Revenue_FY3,BVPS_FY0,BVPS_FY1,BVPS_FY2,BVPS_FY3,PAT_FY0,PAT_FY1,PAT_FY2,PAT_FY3,PE_FY0,PB_FY0,PS_FY0,PE_FY1,PB_FY1,PS_FY1,PE_FY2,PB_FY2,PS_FY2,PE_FY3,PB_FY3,PS_FY3,PE_Avg3,PB_Avg3,PS_Avg3
Median - Infrastructure,NAN,NAN,,448956.14,,,,,142877.14,56770.67,63866.64,67688.69,,,,,41265.740000000005,45384.43,49791.1,51585.84,,,3.14,,,7.91,,,7.03,,,6.63,,,7.19
HOLDCO,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJ FINSERV,NBFC,BAJAJFINSV,2043.8,313470.9,55.0,66.19,83.24,99.82,133821.1,145212.7,174497.8,191692.3,453.89,537.34,725.8,624.42,8872.313,10654.73,13332.039999999999,15627,37.16,4.5,2.34,30.88,3.8,2.16,24.55,2.82,1.8,20.47,3.27,1.64,25.3,3.3,1.86
BAJAJ HOLDINGS & INVS.,NBFC,BAJAJHLDNG,11148.0,147630.8,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
TATA INVESTMENT CORPORATION,NBFC,TATAINVEST,708.6,35399.0,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
AUTHUM INVESTMENT & INFRASTRUCTURE,NBFC,AIIL,2908.5,51668.58,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
CHOLAMANDALAM FINANCIAL HOLDINGS,NBFC,CHOLAHLDNG,1827.6,34515.37,115.76,135.0,166.0,,,,,,,,,,2173.66,1523.95,1858,646.7,15.79,,,13.54,,,11.01,,,,,,12.27,,
BOMBAY BURMAH TRADING,NBFC,BBTC,1902.9,12575.68,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
JSW HOLDINGS,NBFC,JSWHL,19970.0,20094.05,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
Average - HOLDCO,NAN,NAN,,615354.38,,,,,133821.1,145212.7,174497.8,191692.3,,,,,11045.973,12178.68,15190.039999999999,16273.7,,,4.6,,,4.24,,,3.53,,,3.21,,,3.66
