Company,Sector,NSE_Symbol,CMP_BHAV,MCap_INR_crs,EPS_FY0,EPS_FY1,EPS_FY2,EPS_FY3,Revenue_FY0,Revenue_FY1,Revenue_FY2,Revenue_FY3,BVPS_FY0,BVPS_FY1,BVPS_FY2,BVPS_FY3,PAT_FY0,PAT_FY1,PAT_FY2,PAT_FY3,PE_FY0,PB_FY0,PS_FY0,PE_FY1,PB_FY1,PS_FY1,PE_FY2,PB_FY2,PS_FY2,PE_FY3,PB_FY3,PS_FY3,PE_Avg3,PB_Avg3,PS_Avg3
CONCORD BIOTECH,PHARMA,CONCORDBIO,1336.0,17979.34,35.52,38.78,49.65,63.18,1200.09,1404.6,1717.27,2092.93,173.27,201.5,286.5,238.4,371.6423,419.4668,538.3,675.8332,37.61,7.71,14.98,34.45,6.63,12.8,26.91,4.66,10.47,21.14,5.6,8.59,27.5,5.63,10.62
GLENMARK LIFE SCIENCES,PHARMA,GLS,,11900.09,39.52,42.9,49.23,56.3,2386.88,2580.4,2943.83,3399.9,,159.25,,300.8,485.62700000000007,525.7,603.1,690.4,,,4.99,,,4.61,,,4.04,,,3.5,,,4.05
NEULAND LABORATORIES,PHARMA,NEULANDLAB,16044.0,17354.99,143.18,251.08,370.61,494.01,1476.84,1841.16,2303.35,2915.69,,,,,183.7045,337.3,486.5,n.a.,112.05,,11.75,63.9,,9.43,43.29,,7.53,32.48,,5.95,46.56,,7.64
SAI LIFE SCIENCES,PHARMA,SAILIFE,917.6,18942.31,8.61,12.13,16.04,20.5,1694.57,2061.13,2436.46,2826.22,102.12,115.11,152.97,132.0,170.132,234.715,320.35,405.75,106.57,8.99,11.18,75.67,7.97,9.19,57.21,6.0,7.77,44.75,6.95,6.7,59.21,6.97,7.89
AARTI DRUGS,PHARMA,AARTIDRUGS,381.55,4389.17,,23.2,28.3,,2387.03,2688.3,3027.1,,150.0,167.4,,188.6,n.a.,212.1,257.9,n.a.,,2.54,1.84,16.45,2.28,1.63,13.48,,1.45,,2.02,,14.96,2.15,1.54
HIKAL,PHARMA,HIKAL,237.11,3165.13,7.36,6.4,10.8,,1859.8,1948.25,2182.1,,,106.9,,114.9,90.8,78.45,132.9,n.a.,32.22,,1.7,37.05,2.22,1.62,21.95,,1.45,,2.06,,29.5,2.14,1.54
SHILPA MEDICARE LIMITED,PHARMA,SHILPAMED,324.75,8302.93,10.92,27.85,37.0,60.0,1286.41,1651.05,1923.7,2438.3,242.58,270.2,364.3,306.8,106.37429999999999,274.5,363.1,586.7,29.74,1.34,6.45,11.66,1.2,5.03,8.78,0.89,4.32,5.41,1.06,3.41,8.62,1.05,4.25
IOL CHEMICALS & PHARMS.,PHARMA,IOLCP,82.31,2779.7,3.44,4.6,5.7,,2079.21,2313.6,2589.4,,,,,,101.07000000000001,133.7,167,n.a.,23.93,,1.34,17.89,,1.2,14.44,,1.07,,,,16.17,,1.14
SUPRIYA LIFESCIENCES,PHARMA,SUPRIYA,737.85,5329.97,23.35,23.7,30.2,37.9,696.49,794.0,986.2,1225.1,,,,,187.958,197.7,242.4,n.a.,31.6,,7.65,31.13,,6.71,24.43,,5.4,19.47,,4.35,25.01,,5.49
SOLARA ACTIVE PHARMA SCIENCES,PHARMA,SOLARA,573.8,2264.7,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
SUVEN LIFE SCIENCES,PHARMA,SUVEN,171.0,5223.94,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
Average - API,NAN,NAN,,310647.8,,,,,29981.28,34479.67,40188.17,37958.05,,,,,4246.6281,5631.3045,7188.5569,7256.089199999999,,,10.36,,,9.01,,,7.73,,,8.18,,,8.31
Median - API,NAN,NAN,,310647.8,,,,,29981.28,34479.67,40188.17,37958.05,,,,,4246.6281,5631.3045,7188.5569,7256.089199999999,,,10.36,,,9.01,,,7.73,,,8.18,,,8.31
EXPORT ORIENTED,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROBINDO PHARMA,PHARMA,AUROPHARMA,1225.1,61994.75,59.81,65.19,75.29,79.89,31723.73,33411.17,36838.66,39387.97,562.21,617.79,755.58,685.32,3485.88,3846.8959999999997,4520.773,4843.9980000000005,20.48,2.18,1.95,18.79,1.98,1.86,16.27,1.62,1.68,15.34,1.79,1.57,16.8,1.8,1.7
CAPLIN POINT LABS.,PHARMA,CAPLIPOINT,1926.9,16435.24,70.25,81.27,97.23,,1937.47,2231.07,2616.7,,,451.6,,540.0,536.3102,623.2,740.8332,n.a.,27.43,,8.48,23.71,4.27,7.37,19.82,,6.28,,3.57,,21.76,3.92,6.82
GRANULES INDIA,PHARMA,GRANULES,583.4,11178.59,19.41,22.4,30.72,,4481.61,5072.35,5766.02,6589.2,153.19,173.0,,201.4,470.76599999999996,521.7,694.55,n.a.,30.06,3.81,2.49,26.04,3.37,2.2,18.99,,1.94,,2.9,1.7,22.52,3.13,1.95
JUBILANT PHARMOVA,PHARMA,JUBLPHARMA,1087.1,17062.49,75.48,35.0,46.25,,7234.5,7975.47,9004.47,,394.89,419.5,,463.5,1198.9,544.9667999999999,746.5,n.a.,14.4,2.75,2.36,31.06,2.59,2.14,23.5,,1.89,,2.35,,27.28,2.47,2.02
MARKSANS PHARMA,PHARMA,MARKSANS,182.82,8059.06,8.4,8.8,11.0,,2622.84,2825.2,3274.0,,,,,,380.575,399.8,497.7,n.a.,21.76,,3.07,20.78,,2.85,16.62,,2.46,,,,18.7,,2.66
STRIDES PHARMA SCIENCE,PHARMA,STAR,930.8,8342.09,383.48,51.9,67.8,,4565.34,5075.4,5687.5,,,,,,3528.7940000000003,478.7,624.7,n.a.,2.43,,1.83,17.93,,1.64,13.73,,1.47,,,,15.83,,1.56
Average - Export Oriented,NAN,NAN,,123072.21,,,,,52565.49,56590.66,63187.35,45977.17,,,,,9601.2252,6415.2627999999995,7825.0562,4843.9980000000005,,,2.34,,,2.17,,,1.95,,,2.68,,,2.27
Median - Export Oriented,NAN,NAN,,123072.21,,,,,52565.49,56590.66,63187.35,45977.17,,,,,9601.2252,6415.2627999999995,7825.0562,4843.9980000000005,,,2.34,,,2.17,,,1.95,,,2.68,,,2.27
MNC,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTT INDIA,PHARMA,ABBOTINDIA,28035.0,66977.79,665.62,722.91,817.05,930.8,6409.15,7053.02,7733.49,8428.7,1992.14,2247.04,2846.5,2539.86,1414.44,1536.205,1736.2720000000002,1978,42.12,14.07,10.45,38.78,12.48,9.5,34.31,9.85,8.66,30.12,11.04,7.95,34.4,11.12,8.7
GLAXOSMITHKLINE PHARMS.,PHARMA,GLAXO,2529.0,47469.28,54.76,60.42,68.5,,3749.21,4065.5,4489.23,,115.18,130.75,,163.65,927.5800999999999,1023.525,1160.033,n.a.,46.18,21.96,12.66,41.85,19.34,11.68,36.92,,10.57,,15.45,,39.39,17.4,11.13
PFIZER,PHARMA,PFIZER,5097.6,25007.99,130.01,158.1,178.9,,2281.35,2449.2,2643.45,,921.88,1029.9,,1153.2,594.7898,723.3,818.45,n.a.,39.21,5.53,10.96,32.24,4.95,10.21,28.49,,9.46,,4.42,,30.37,4.69,9.84
SANOFI INDIA,PHARMA,SANOFI,4069.0,12041.55,195.92,158.97,175.37,163.3,2013.2,1884.63,2004.03,2042.0,,,,,451.2,365.8333,403.5,375.7,20.77,,5.98,25.6,,6.39,23.2,,6.01,24.92,,5.9,24.57,,6.1
SANOFI CONSUMER HEALTHCARE INDIA,PHARMA,SANOFICONR,4592.1,11905.44,78.59,98.8,120.4,,724.5,844.9,966.0,,,,,,209.4,227.1,276.9,n.a.,58.43,,16.43,46.48,,14.09,38.14,,12.32,,,,42.31,,13.21
ASTRAZENECA PHARMA INDIA,PHARMA,ASTRAZEN,9091.5,20669.99,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
PROCTER & GAMBLE HEALTH,PHARMA,PGHL,5662.0,10646.84,,194.0,219.0,,,1351.7,1500.3,,,,,,n.a.,322,363.6,n.a.,,,,29.19,,7.88,25.85,,7.1,,,,27.52,,7.49
Average - MNC,NAN,NAN,,194718.88,,,,,15177.41,17648.95,19336.5,10470.7,,,,,3597.4098999999997,4197.963299999999,4758.755,2353.7,,,12.83,,,11.03,,,10.07,,,18.6,,,13.23
Median - MNC,NAN,NAN,,194718.88,,,,,15177.41,17648.95,19336.5,10470.7,,,,,3597.4098999999997,4197.963299999999,4758.755,2353.7,,,12.83,,,11.03,,,10.07,,,18.6,,,13.23
CDMO,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAND PHARMA,PHARMA,GLAND,1671.7,31979.22,42.4,58.83,75.39,91.49,5616.5,5929.2,6766.01,8257.54,555.41,606.21,760.13,672.88,698.5262,968.7140999999999,1241.476,1518.059,39.43,3.01,5.69,28.42,2.76,5.39,22.17,2.2,4.73,18.27,2.48,3.87,22.95,2.48,4.66
SUVEN PHARMACEUTICALS,PHARMA,SUVENPHAR,,34364.09,10.45,15.6,21.73,29.31,1197.58,3105.57,3821.88,4732.57,66.65,94.07,132.4,113.09,264.77,640,886.875,1159.8,,,28.69,,,11.07,,,8.99,,,7.26,,,9.11
PIRAMAL PHARMA,PHARMA,PPLPHARMA,171.28,25484.61,0.68,1.3,4.32,6.95,9151.18,9599.81,11329.74,12818.67,61.5,54.48,55.9,60.27,91.13,179.8686,557.9757999999999,876.732,251.88,2.79,2.78,131.25,3.14,2.65,39.64,3.06,2.25,24.63,2.84,1.99,65.17,3.02,2.3
AKUMS DRUGS AND PHARMACEUTICALS,PHARMA,AKUMS,427.2,7323.63,21.48,19.85,25.11,32.0,4108.16,4426.1,4953.6,5759.1,199.02,218.1,,242.6,321.479,291.55,382.35,502.5,19.89,2.15,1.78,21.52,1.96,1.65,17.01,,1.48,13.35,1.76,1.27,17.3,1.86,1.47
INNOVA CAPTAB,PHARMA,INNOVACAP,689.25,5349.1,22.41,30.25,41.6,54.4,1243.68,1707.9,2162.7,2663.6,167.66,197.9,296.9,239.5,128.25799999999998,172.95,238.15,311.4,30.76,4.11,4.3,22.79,3.48,3.13,16.57,2.32,2.47,12.67,2.88,2.01,17.34,2.89,2.54
DISHMAN CARBOGEN AMCIS,PHARMA,DCAL,242.96,4386.0,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
Onesource Specialty Pharma Limited,PHARMA,ONESOURCE,1716.2,21571.97,,,,,,1865.8,2802.9,3595.45,,,,,n.a.,302.3,715.15,949.975,,,,,,11.56,,,7.7,,,6.0,,,8.42
Average - CDMO,NAN,NAN,,130458.62,,,,,21317.1,26634.39,31836.84,37826.94,,,,,1504.1632,2555.3827,4021.9768,5318.466,,,6.12,,,4.9,,,4.1,,,3.45,,,4.15
Median - CDMO,NAN,NAN,,130458.62,,,,,21317.1,26634.39,31836.84,37826.94,,,,,1504.1632,2555.3827,4021.9768,5318.466,,,6.12,,,4.9,,,4.1,,,3.45,,,4.15
Average - Pharma,NAN,NAN,,2228923.1,,,,,385539.32,428360.44,473123.34,477414.25,,,,,64291.1424,66937.8441,74834.10110000001,78086.0772,,,5.78,,,5.2,,,4.71,,,4.67,,,4.86
Median - Pharma,NAN,NAN,,2228923.1,,,,,385539.32,428360.44,473123.34,477414.25,,,,,64291.1424,66937.8441,74834.10110000001,78086.0772,,,5.78,,,5.2,,,4.71,,,4.67,,,4.86
HEALTHCARE SERVICES,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSPITAL,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLO HOSPS.ENTERPRISE,HEALTHCARE SERVICES,APOLLOHOSP,7012.5,112885.3,100.56,131.97,172.72,217.51,21794.0,25327.67,30544.48,34499.48,571.15,679.72,1007.67,826.8,1445.9,1898.73,2457.941,3127.848,69.73,12.28,5.18,53.14,10.32,4.46,40.6,6.96,3.7,32.24,8.48,3.27,41.99,8.59,3.81
MAX HEALTHCARE INSTITUTE,HEALTHCARE SERVICES,MAXHEALTH,1075.8,118747.7,11.76,18.44,23.62,27.68,7028.46,10608.18,12851.43,14958.47,96.5,122.35,147.47,143.26,1149.51,1814.854,2346.9880000000003,2838.3450000000003,91.48,11.15,16.9,58.34,8.79,11.19,45.54,7.29,9.24,38.86,7.51,7.94,47.58,7.87,9.46
FORTIS HEALTHCARE,HEALTHCARE SERVICES,FORTIS,890.9,69089.95,11.44,14.43,18.74,22.89,8051.76,9159.33,10559.54,11912.63,118.11,131.0,166.74,147.77,863.55,1091.023,1420.324,1799.6860000000001,77.88,7.54,8.58,61.75,6.8,7.54,47.55,5.34,6.54,38.92,6.03,5.8,49.41,6.06,6.63
GLOBAL HEALTH,HEALTHCARE SERVICES,MEDANTA,1169.6,37508.43,19.78,23.54,28.09,32.65,3692.32,4361.4,5049.02,5852.38,126.08,140.31,210.84,177.2,531.3328,628.7198999999999,765.4801,912.1569999999999,59.13,9.28,10.16,49.7,8.34,8.6,41.63,5.55,7.43,35.83,6.6,6.41,42.39,6.83,7.48
NARAYANA HRUDAYALAYA,HEALTHCARE SERVICES,NH,1898.6,37488.17,39.31,46.73,54.64,59.25,5482.98,6338.19,7038.14,7857.54,178.55,220.09,319.41,270.39,798.518,959.325,1121.275,1216.6,48.3,10.63,6.84,40.63,8.63,5.91,34.74,5.94,5.33,32.04,7.02,4.77,35.8,7.2,5.34
ASTER DM HEALTHCARE,HEALTHCARE SERVICES,ASTERDM,598.2,31045.21,7.76,8.94,12.36,16.72,4138.46,5249.09,6964.74,8012.82,68.81,81.74,107.23,90.32,386.83000000000004,497.14300000000003,763.2,964.1,77.09,8.69,7.5,66.91,7.32,5.91,48.4,5.58,4.46,35.78,6.62,3.87,50.36,6.51,4.75
Dr. Agarwal's Health Care Limited,HEALTHCARE SERVICES,AGARWALEYE,501.05,14565.41,,,,,1711.0,2066.8,2460.2,2853.0,,,,,86.47999999999999,119.65,165.8,n.a.,,,8.51,,,7.05,,,5.92,,,5.11,,,6.02
KRISHNA INSTITUTE OF MEDICAL SCIENCES,HEALTHCARE SERVICES,KIMS,639.3,30274.51,9.34,10.21,15.29,23.02,3035.1,3928.15,4900.74,6090.94,54.32,63.43,104.38,79.14,373.7,400.9778,614.6445,942.15,68.45,11.77,9.97,62.63,10.08,7.71,41.82,6.12,6.18,27.77,8.08,4.97,44.07,8.09,6.29
RAINBOW CHILDRENS MEDICARE,HEALTHCARE SERVICES,RAINBOW,1317.8,15490.81,23.84,28.49,35.28,42.51,1515.87,1764.13,2067.8,2436.51,144.57,158.94,213.29,186.96,243.42399999999998,292.4286,354.6143,428.5602,55.28,9.11,10.22,46.25,8.29,8.78,37.35,6.18,7.49,31.0,7.05,6.36,38.2,7.17,7.54
MEDPLUS HEALTH SERVICES,HEALTHCARE SERVICES,MEDPLUS,820.55,10073.66,12.52,16.81,21.48,26.81,6136.05,5972.13,7491.28,8623.57,145.61,160.36,203.69,177.35,150.322,201.28979999999999,256.9842,320.881,65.54,5.64,1.64,48.8,5.12,1.69,38.21,4.03,1.34,30.6,4.63,1.17,39.2,4.59,1.4
JUPITER LIFE LINE HOSPITALS,HEALTHCARE SERVICES,JLHL,1401.4,9283.49,29.47,32.5,38.08,48.87,1261.54,1463.02,1758.86,2043.67,206.85,239.2,326.25,277.1,193.11700000000002,212.98000000000002,249.61999999999998,320.43330000000003,47.55,6.77,7.36,43.12,5.86,6.35,36.8,4.3,5.28,28.68,5.06,4.54,36.2,5.07,5.39
HEALTHCARE GLOBAL ENTS.,HEALTHCARE SERVICES,HCG,706.65,9478.15,3.14,5.89,11.82,21.32,2218.14,2538.98,2903.52,3410.05,66.17,71.07,,81.07,44.410000000000004,84.775,152.975,266.3,225.05,10.68,4.27,120.06,9.94,3.73,59.77,,3.26,33.14,8.72,2.78,70.99,9.33,3.26
YATHARTH HOSPITAL & TRAUMA CARE SERVICES,HEALTHCARE SERVICES,YATHARTH,675.7,6809.36,14.72,17.7,25.0,26.2,880.49,1161.3,1590.4,1909.7,166.62,181.1,223.3,201.7,130.543,170.8,241,252.3,45.9,4.06,7.73,38.18,3.73,5.86,27.03,3.03,4.28,25.79,3.35,3.57,30.33,3.37,4.57
GPT HEALTHCARE,HEALTHCARE SERVICES,GPTHEALTH,136.61,1269.3,6.08,7.5,9.3,11.4,407.09,479.9,574.9,687.4,30.2,35.5,49.9,41.9,49.9217,61.7,75.9,93.6,22.47,4.52,3.12,18.21,3.85,2.64,14.69,2.74,2.21,11.98,3.26,1.85,14.96,3.28,2.23
Average - Hospital,NAN,NAN,,504009.45,,,,,67353.26,80418.26,96755.07,111148.16,,,,,6447.558499999999,8434.396099999998,10986.746100000002,13482.9605,,,7.48,,,6.27,,,5.21,,,4.53,,,5.34
Median - Hospital,NAN,NAN,,504009.45,,,,,67353.26,80418.26,96755.07,111148.16,,,,,6447.558499999999,8434.396099999998,10986.746100000002,13482.9605,,,7.48,,,6.27,,,5.21,,,4.53,,,5.34
PATHOLOGY,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR LAL PATHLABS,HEALTHCARE SERVICES,LALPATHLAB,1391.6,28038.14,58.4,61.44,71.43,81.91,2461.4,2752.81,3088.11,3439.59,260.62,300.8,388.68,345.61,487.1,514.6594,602.6940999999999,691.566,23.83,5.34,11.39,22.65,4.63,10.19,19.48,3.58,9.08,16.99,4.03,8.15,19.71,4.08,9.14
METROPOLIS HEALTHCARE,HEALTHCARE SERVICES,METROPOLIS,1885.8,11330.81,28.15,39.46,49.32,58.16,1331.2,1650.4,1871.09,2105.81,256.94,278.87,372.84,319.3,144.9683,204.4462,256.5846,302.1875,66.99,7.34,8.51,47.79,6.76,6.87,38.23,5.06,6.06,32.42,5.91,5.38,39.48,5.91,6.1
VIJAYA DIAGNOSTIC CENTRE,HEALTHCARE SERVICES,VIJAYA,997.25,10492.32,14.02,16.96,21.84,28.42,681.39,799.5,947.3,1127.62,77.53,109.27,175.2,133.63,144.1049,170.8571,220.7286,290.75,71.13,12.86,15.4,58.79,9.13,13.12,45.67,5.69,11.08,35.08,7.46,9.3,46.51,7.43,11.17
THYROCARE TECHNOLOGIES,HEALTHCARE SERVICES,THYROCARE,436.7,6705.38,17.08,26.9,34.2,,687.35,853.0,990.2,,103.17,104.9,,107.2,91.51,142.8,181.3,n.a.,25.57,4.23,9.76,16.23,4.16,7.86,12.77,,6.77,,4.07,,14.5,4.12,7.32
KRSNAA DIAGNOSTICS,HEALTHCARE SERVICES,KRSNAA,718.95,2593.63,23.56,29.3,47.55,57.2,717.16,855.22,1201.82,1353.9,273.39,305.4,398.1,351.6,77.608,94.45,151.325,185.3,30.52,2.63,3.62,24.54,2.35,3.03,15.12,1.81,2.16,12.57,2.04,1.92,17.41,2.07,2.37
Average - Pathology,NAN,NAN,,59160.28,,,,,5878.5,6910.93,8098.53,8026.92,,,,,945.2911999999999,1127.2127,1412.6323,1469.8035,,,10.06,,,8.56,,,7.31,,,7.37,,,7.75
Median - Pathology,NAN,NAN,,59160.28,,,,,5878.5,6910.93,8098.53,8026.92,,,,,945.2911999999999,1127.2127,1412.6323,1469.8035,,,10.06,,,8.56,,,7.31,,,7.37,,,7.75
OTHER HEALTHCARE,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYNGENE INTER,HEALTHCARE SERVICES,SYNGENE,654.15,26819.68,11.54,10.57,14.7,18.38,3642.4,3908.85,4533.7,5236.5,117.77,103.0,157.67,113.2,464.2,419.8875,554.848,671.348,56.69,5.55,7.36,61.86,6.35,6.86,44.51,4.15,5.92,35.59,5.78,5.12,47.32,5.43,5.97
POLY MEDICURE,HEALTHCARE SERVICES,POLYMED,1810.3,21499.29,34.11,37.04,45.74,54.8,1669.83,1936.82,2310.48,2634.55,273.24,304.2,,343.3,338.5572,371.36,458.6602,542.05,53.07,6.63,12.88,48.87,5.95,11.1,39.58,,9.31,33.03,5.27,8.16,40.5,5.61,9.52
INDRAPRASTHA MEDICAL CORPORATION,HEALTHCARE SERVICES,INDRAMEDCO,470.2,4167.91,17.56,20.2,20.4,23.0,1356.36,1504.2,1626.3,1771.6,,,,,160.99,185.5,186.7,210.8,26.78,,3.07,23.28,,2.77,23.05,,2.56,20.44,,2.35,22.26,,2.56
SUN PHARMA ADVD.RESH.,HEALTHCARE SERVICES,SPARC,143.82,4696.47,,47.4,58.6,,,,,,,333.9,,375.5,n.a.,n.a.,n.a.,n.a.,,,,3.03,0.43,,2.45,,,,0.38,,2.74,0.41,
TARSONS PRODUCTS,HEALTHCARE SERVICES,TARSONS,230.3,1708.45,5.6,8.1,13.4,18.8,392.41,439.5,505.4,581.2,,,,,29.77,43.2,71.2,99.9,41.13,,4.35,28.43,,3.89,17.19,,3.38,12.25,,2.94,19.29,,3.4
ENTERO HEALTHCARE SOLUTIONS,HEALTHCARE SERVICES,ENTERO,964.8,5331.14,21.76,37.55,49.91,60.56,5095.78,6566.35,8096.2,9290.6,396.28,432.0,532.0,476.0,94.82000000000001,163.35,217.05,263.4,44.34,2.43,1.05,25.7,2.23,0.81,19.33,1.81,0.66,15.93,2.03,0.57,20.32,2.02,0.68
Average - Other Healthcare,NAN,NAN,,64222.95,,,,,12156.79,14355.72,17072.08,19514.45,,,,,1088.3372,1183.2975,1488.4582,1787.498,,,5.28,,,4.47,,,3.76,,,3.29,,,3.84
Median - Other Healthcare,NAN,NAN,,64222.95,,,,,12156.79,14355.72,17072.08,19514.45,,,,,1088.3372,1183.2975,1488.4582,1787.498,,,5.28,,,4.47,,,3.76,,,3.29,,,3.84
Average - Healthcare Services,NAN,NAN,,627392.69,,,,,85388.55,101684.92,121925.68,138689.53,,,,,8481.186899999999,10744.906299999999,13887.836600000002,16740.262,,,7.35,,,6.17,,,5.15,,,4.52,,,5.28
Median - Healthcare Services,NAN,NAN,,627392.69,,,,,85388.55,101684.92,121925.68,138689.53,,,,,8481.186899999999,10744.906299999999,13887.836600000002,16740.262,,,7.35,,,6.17,,,5.15,,,4.52,,,5.28
Average - Healthcare,NAN,NAN,,2856315.79,,,,,470927.87,530045.36,595049.02,616103.78,,,,,72772.3293,77682.7504,88721.93770000001,94826.3392,,,6.07,,,5.39,,,4.8,,,4.64,,,4.94
Median - Healthcare,NAN,NAN,,2856315.79,,,,,470927.87,530045.36,595049.02,616103.78,,,,,72772.3293,77682.7504,88721.93770000001,94826.3392,,,6.07,,,5.39,,,4.8,,,4.64,,,4.94
AUTOMOBILE,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEM,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI SUZUKI INDIA,AUTOMOBILE,MARUTI,16414.0,454374.5,443.86,497.28,562.49,616.96,151900.1,168818.2,249110.0,328084.4,2991.28,3329.12,4167.56,3712.73,13955.2,15608.279999999999,17749.18,19493.739999999998,36.98,5.49,2.99,33.01,4.93,2.69,29.18,3.94,1.82,26.6,4.42,1.38,29.6,4.43,1.97
TATA MOTORS,AUTOMOBILE,TATAMOTORS,,252859.8,80.31,51.75,63.65,71.62,439695.0,452691.9,485735.0,517729.6,333.12,353.22,464.3,405.45,28380,18065.21,22539.09,24313.010000000002,,,0.58,,,0.56,,,0.52,,,0.49,,,0.52
MAHINDRA & MAHINDRA,AUTOMOBILE,M&M,3603.6,407768.2,98.45,116.69,131.15,142.54,116483.7,136360.6,153104.8,169874.1,513.42,600.03,814.02,703.44,11854.960000000001,14153.64,15806.529999999999,17103.91,36.6,7.02,3.5,30.88,6.01,2.99,27.48,4.43,2.66,25.28,5.12,2.4,27.88,5.19,2.68
HYUNDAI MOTOR INDIA,AUTOMOBILE,HYUNDAI,2317.3,200892.6,69.41,72.28,85.48,97.96,69192.89,72522.8,83187.89,92737.33,200.56,244.18,366.82,301.02,5640.214,5800.509,6987.95,8056.656,33.39,11.55,2.9,32.06,9.49,2.77,27.11,6.32,2.41,23.66,7.7,2.17,27.61,7.84,2.45
BAJAJ AUTO,AUTOMOBILE,BAJAJ-AUTO,9002.0,244301.4,292.1,330.6,373.42,409.18,50010.31,54076.84,60297.11,68850.51,1152.16,1255.28,1443.68,1371.01,8151.419,9226.138,10431.23,11437.49,30.82,7.81,4.89,27.23,7.17,4.52,24.11,6.24,4.05,22.0,6.57,3.55,24.45,6.66,4.04
EICHER MOTORS,AUTOMOBILE,EICHERMOT,7217.0,164306.1,172.37,181.62,204.07,230.54,18870.35,21038.96,23421.39,26173.09,776.78,875.86,1156.84,1010.43,4734.4400000000005,5014.644,5591.689,6267.112,41.87,9.29,8.71,39.74,8.24,7.81,35.37,6.24,7.02,31.31,7.14,6.28,35.47,7.21,7.03
T V S MOTOR,AUTOMOBILE,TVSMOTOR,3666.0,780102.2,57.05,70.28,83.97,98.86,36251.32,41776.26,47172.26,53410.78,209.15,266.04,420.58,334.84,2710.54,3357.754,4029.4230000000002,4814.813,64.26,17.53,21.52,52.16,13.78,18.67,43.66,8.72,16.54,37.08,10.95,14.61,44.3,11.15,16.61
HERO MOTOCORP,AUTOMOBILE,HEROMOTOCO,5781.0,101310.3,230.25,250.74,274.04,290.11,40756.37,44080.55,47870.21,51200.53,990.28,1077.03,1255.09,1160.47,4609.95,5005.380999999999,5459.157,5776.023,25.11,5.84,2.49,23.06,5.37,2.3,21.1,4.61,2.12,19.93,4.98,1.98,21.36,4.99,2.13
ASHOK LEYLAND,AUTOMOBILE,ASHOKLEY,173.56,76942.86,5.44,6.45,7.03,7.87,38752.74,40393.33,43462.11,47997.07,19.61,23.16,29.15,25.27,3199.56,3511.9839999999995,3881.404,4175.5779999999995,31.9,8.85,1.99,26.92,7.5,1.9,24.67,5.95,1.77,22.06,6.87,1.6,24.55,6.77,1.76
ESCORTS KUBOTA,AUTOMOBILE,ESCORTS,3615.8,39260.81,116.16,110.6,125.78,142.11,10186.96,10897.42,12180.86,13596.87,943.66,1009.87,1214.23,1097.16,1278,1625.3700000000001,1424.3899999999999,1571.45,31.13,3.83,3.85,32.69,3.58,3.6,28.75,2.98,3.22,25.44,3.3,2.89,28.96,3.28,3.24
OLA ELECTRIC MOBILITY,AUTOMOBILE,OLAELEC,34.38,20313.98,-5.42,-3.06,-2.22,-1.91,4514.0,4200.03,5794.71,7999.04,12.32,10.11,8.85,8.75,-2253,-1510.9,-1358.667,-1026.5,-6.34,2.79,4.5,-11.22,3.4,4.84,-15.52,3.89,3.51,-18.0,3.93,2.54,-14.91,3.74,3.63
Ather Energy Limited,AUTOMOBILE,ATHERENERG,701.95,15557.63,,,,,,3246.4,4698.09,6529.73,,,,,n.a.,-752.3148,-605.0816,-322.4635,,,,,,4.79,,,3.31,,,2.38,,,3.5
OLECTRA GREENTECH,AUTOMOBILE,OLECTRA,1175.3,13137.84,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
FORCE MOTORS,AUTOMOBILE,FORCEMOT,17801.0,26579.14,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
VST TILLERS TRACTORS,AUTOMOBILE,VSTTILLERS,5757.0,4630.5,107.43,146.07,170.42,191.0,994.55,1203.38,1348.48,1423.6,1159.11,1258.97,1592.6,1392.17,92.97,127.25,148.625,165,53.59,4.97,4.66,39.41,4.57,3.85,33.78,3.61,3.43,30.14,4.14,3.25,34.44,4.11,3.51
SML ISUZU,AUTOMOBILE,SMLISUZU,,6797.04,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
